year,make,manufacturer,model,drivetrain,vehicle_class,engine_size,cylinders,transmission,trans_type,num_gears,fuel_type,city,hwy,comb,comb_mpg,co2
2017,TOYOTA,Toyota,86,2WD,MINICOMPACT,2,4,AS6,A,6,Z,9.9,7.3,8.7,32,204
2017,TOYOTA,Toyota,86,2WD,MINICOMPACT,2,4,M6,M,6,Z,11.3,8.3,9.9,29,232
2018,Toyota,Toyota,86,2WD,MINICOMPACT,2,4,AS6,A,6,Z,9.9,7.3,8.7,32,204
2010,ACURA,Honda,MDX AWD,AWD,SUV - SMALL,3.7,6,AS6,A,6,Z,14.8,11.3,13.2,21,304
2010,ACURA,Honda,RDX AWD TURBO,AWD,SUV - SMALL,2.3,4,AS5,A,5,Z,13.2,10.3,11.9,24,274
2010,ACURA,Honda,RL AWD,AWD,MID-SIZE,3.7,6,AS5,A,5,Z,14.7,10.6,12.9,22,297
2018,Toyota,Toyota,86,2WD,MINICOMPACT,2,4,M6,M,6,Z,11.3,8.3,9.9,29,232
2010,ACURA,Honda,TL AWD,AWD,MID-SIZE,3.7,6,AS5,A,5,Z,13.8,9.6,11.9,24,274
2010,ACURA,Honda,TL AWD,AWD,MID-SIZE,3.7,6,M6,M,6,Z,13.4,9.5,11.6,24,267
2019,Toyota,Toyota,86,2WD,MINICOMPACT,2,4,AS6,A,6,Z,9.9,7.3,8.7,32,204
2019,Toyota,Toyota,86,2WD,MINICOMPACT,2,4,M6,M,6,Z,11.3,8.3,9.9,29,232
2012,CHRYSLER,FCA,200,2WD,MID-SIZE,2.4,4,A4,A,4,X,11.3,8,9.8,29,225
2012,CHRYSLER,FCA,200,2WD,MID-SIZE,2.4,4,AS6,A,6,X,11.9,7.6,10,28,230
2015,CHRYSLER,FCA,200,2WD,MID-SIZE,2.4,4,A9,A,9,X,10.2,6.4,8.5,33,196
2015,CHRYSLER,FCA,200,2WD,MID-SIZE,3.6,6,A9,A,9,X,12.4,7.5,10.2,28,235
2010,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.5,6,A4,A,4,X,13.7,9.6,11.9,24,274
2012,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.3,7.6,10.2,28,235
2012,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.6,6,AS5,A,5,X,13.2,8.7,11.2,25,258
2013,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.3,7.6,10.2,28,235
2014,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.4,7.7,10.3,27,237
2010,AUDI,VW,A3 QUATTRO,AWD,STATION WAGON - SMALL,2,4,AS6,A,6,Z,11,8.9,10,28,230
2015,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.4,7.7,10.3,27,237
2016,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.4,7.7,10.3,27,240
2010,AUDI,VW,A4 AVANT QUATTRO,AWD,STATION WAGON - SMALL,2,4,AS6,A,6,Z,11.5,8.7,10.2,28,235
2010,AUDI,VW,A4 QUATTRO,AWD,COMPACT,2,4,AS6,A,6,Z,11.5,8.7,10.2,28,235
2010,AUDI,VW,A4 QUATTRO,AWD,COMPACT,2,4,M6,M,6,Z,10.8,7.8,9.4,30,216
2010,AUDI,VW,A5 CABRIOLET QUATTRO,AWD,SUBCOMPACT,2,4,AS6,A,6,Z,11.5,8.9,10.3,27,237
2017,CHRYSLER,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.4,7.8,10.3,27,242
2018,Chrysler,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.4,7.8,10.3,27,242
2018,Chrysler,FCA,300,2WD,FULL-SIZE,5.7,8,A8,A,8,X,14.7,9.4,12.3,23,289
2019,Chrysler,FCA,300,2WD,FULL-SIZE,3.6,6,A8,A,8,X,12.4,7.8,10.3,27,242
2010,AUDI,VW,A6 AVANT QUATTRO,AWD,STATION WAGON - MID-SIZE,3,6,AS6,A,6,Z,13.5,9.5,11.7,24,269
2010,AUDI,VW,A6 QUATTRO,AWD,MID-SIZE,3,6,AS6,A,6,Z,13.5,9.5,11.7,24,269
2010,AUDI,VW,A6 QUATTRO,AWD,MID-SIZE,4.2,8,AS6,A,6,Z,14.7,10.3,12.7,22,292
2019,Chrysler,FCA,300,2WD,FULL-SIZE,5.7,8,A8,A,8,X,14.7,9.4,12.3,23,289
2012,FIAT,FCA,500,2WD,MINICOMPACT,1.4,4,A6,A,6,X,8.6,6.8,7.8,36,179
2012,FIAT,FCA,500,2WD,MINICOMPACT,1.4,4,M5,M,5,X,7.9,6.2,7.1,40,163
2018,FIAT,FCA,500,2WD,MINICOMPACT,1.4,4,A6,A,6,X,9.7,7.4,8.7,32,202
2018,FIAT,FCA,500,2WD,MINICOMPACT,1.4,4,M5,M,5,X,8.4,7,7.8,36,182
2019,FIAT,FCA,500,2WD,MINICOMPACT,1.4,4,A6,A,6,X,9.7,7.4,8.7,32,203
2019,FIAT,FCA,500,2WD,MINICOMPACT,1.4,4,M5,M,5,X,8.5,7.1,7.9,36,186
2012,RAM,FCA,1500,2WD,PICKUP TRUCK - STANDARD,3.7,6,A4,A,4,X,16.7,11.8,14.5,19,334
2015,RAM,FCA,1500,2WD,PICKUP TRUCK - STANDARD,3.6,6,A8,A,8,X,13.9,9.5,11.9,24,274
2017,RAM,FCA,1500,2WD,PICKUP TRUCK - STANDARD,5.7,8,A6,A,6,X,17,12,14.8,19,346
2017,RAM,FCA,1500,2WD,PICKUP TRUCK - STANDARD,5.7,8,A8,A,8,X,15.7,11,13.6,21,319
2018,Ram,FCA,1500,2WD,PICKUP TRUCK - STANDARD,5.7,8,A6,A,6,X,17,12,14.8,19,346
2018,Ram,FCA,1500,2WD,PICKUP TRUCK - STANDARD,5.7,8,A8,A,8,X,15.7,11,13.6,21,319
2019,Ram,FCA,1500,2WD,PICKUP TRUCK - STANDARD,5.7,8,A8,A,8,X,16.2,10.5,13.6,21,320
2011,BMW,BMW,1 SERIES M COUPE,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.7,9.3,11.1,25,255
2017,FIAT,FCA,124 SPIDER,2WD,TWO-SEATER,1.4,4,A6,A,6,X,9.3,6.5,8,35,187
2010,AUDI,VW,TT COUPE QUATTRO,AWD,SUBCOMPACT,2,4,AS6,A,6,Z,11.1,8.5,9.9,29,228
2010,AUDI,VW,TT ROADSTER QUATTRO,AWD,TWO-SEATER,2,4,AS6,A,6,Z,11.1,8.5,9.9,29,228
2017,FIAT,FCA,124 SPIDER,2WD,TWO-SEATER,1.4,4,M6,M,6,X,9,6.7,7.9,36,185
2018,FIAT,FCA,124 Spider,2WD,TWO-SEATER,1.4,4,A6,A,6,X,9.3,6.5,8,35,187
2018,FIAT,FCA,124 Spider,2WD,TWO-SEATER,1.4,4,M6,M,6,X,9,6.7,7.9,36,185
2019,FIAT,FCA,124 Spider,2WD,TWO-SEATER,1.4,4,A6,A,6,X,9.3,6.5,8,35,187
2019,FIAT,FCA,124 Spider,2WD,TWO-SEATER,1.4,4,M6,M,6,X,9,6.7,7.9,36,185
2010,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,A6,A,6,Z,12.8,8.8,11,26,253
2010,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.2,8.2,10.4,27,239
2011,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,A6,A,6,Z,13,8.8,11.1,25,255
2011,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.1,8.2,10.4,27,239
2012,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,A6,A,6,Z,12.9,8.8,11,26,253
2012,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.2,8.3,10.5,27,242
2013,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,A6,A,6,Z,12.9,8.8,11,26,253
2013,BMW,BMW,128i CABRIOLET,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.1,8.3,10.4,27,239
2010,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,A6,A,6,Z,12.8,8.2,10.7,26,246
2010,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.2,8.2,10.4,27,239
2011,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,A6,A,6,Z,12.3,8.1,10.4,27,239
2011,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.1,8.2,10.4,27,239
2012,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,A6,A,6,Z,12.8,8.1,10.7,26,246
2012,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.2,8.3,10.5,27,242
2013,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,A6,A,6,Z,12.8,8.1,10.7,26,246
2013,BMW,BMW,128i COUPE,2WD,SUBCOMPACT,3,6,M6,M,6,Z,12.1,8.3,10.4,27,239
2010,BMW,BMW,328i xDRIVE,AWD,COMPACT,3,6,A6,A,6,Z,13.4,9.3,11.5,25,265
2010,BMW,BMW,328i xDRIVE,AWD,COMPACT,3,6,M6,M,6,Z,13.7,9,11.6,24,267
2010,BMW,BMW,328i xDRIVE COUPE,AWD,SUBCOMPACT,3,6,A6,A,6,Z,13.4,9.3,11.5,25,265
2010,BMW,BMW,328i xDRIVE COUPE,AWD,SUBCOMPACT,3,6,M6,M,6,Z,13.7,9,11.6,24,267
2010,BMW,BMW,328i xDRIVE TOURING,AWD,STATION WAGON - SMALL,3,6,A6,A,6,Z,13.4,9.3,11.5,25,265
2010,BMW,BMW,328i xDRIVE TOURING,AWD,STATION WAGON - SMALL,3,6,M6,M,6,Z,13.7,9,11.6,24,267
2010,BMW,BMW,135i CABRIOLET,2WD,SUBCOMPACT,3,6,A6,A,6,Z,13.4,9.4,11.6,24,267
2010,BMW,BMW,135i CABRIOLET,2WD,SUBCOMPACT,3,6,M6,M,6,Z,13.1,9.1,11.3,25,260
2011,BMW,BMW,135i CABRIOLET,2WD,SUBCOMPACT,3,6,AM7,A,7,Z,13.2,9.3,11.4,25,262
